ground_truth_x, ground_truth_y, ground_truth_vx, ground_truth_vy, estimate_x, estimate_y, estimate_vx, estimate_vy, rmse_x, rmse_y, rmse_vx, rmse_vy, 
0.359997,0.600041,-4.80025,0.0016588,0.201778,0.385989,-1.24257,-2.37696,0.158219,0.214052,3.55768,2.37862,
0.119984,0.600207,-4.80057,0.00497648,0.218459,0.68347,-0.116709,3.57063,0.131777,0.162405,4.15906,3.03082,
-0.120044,0.600581,-4.801,0.00995308,-0.181706,0.759662,-7.42429,2.40144,0.113333,0.161305,3.7183,2.83378,
-0.360093,0.601244,-4.80155,0.0165887,-0.424708,0.730687,-4.50061,1.63449,0.10333,0.153959,3.22366,2.58401,
-0.60017,0.602281,-4.80221,0.0248832,-0.658957,0.59286,-4.05497,1.18505,0.0960873,0.137769,2.90263,2.36873,
-0.840279,0.603774,-4.80296,0.0348368,-0.858884,0.636136,-4.03514,1.14415,0.0880435,0.126458,2.6682,2.20926,
-1.08042,0.605806,-4.8038,0.0464493,-1.11406,0.666691,-4.41221,0.966512,0.0824982,0.119317,2.4747,2.07473,
-1.32061,0.608459,-4.80472,0.0597206,-1.31079,0.696844,-4.32366,0.952698,0.0772481,0.115903,2.32111,1.96625,
-1.56084,0.611818,-4.8057,0.0746505,-1.5299,0.700118,-4.33908,0.722615,0.0735568,0.113169,2.19389,1.86634,
-1.80112,0.615965,-4.80673,0.0912385,-1.69864,0.719811,-4.20586,0.743794,0.0769399,0.112272,2.08996,1.78255,
-2.04145,0.620982,-4.80778,0.109484,-1.9486,0.711202,-4.44793,0.535147,0.0785199,0.110449,1.99565,1.70443,
-2.28182,0.626953,-4.80884,0.129387,-2.1904,0.744795,-4.49031,0.537834,0.0796746,0.111084,1.9129,1.63612,
-2.52225,0.63396,-4.80989,0.150946,-2.47643,0.652071,-4.76277,0.00845519,0.0775968,0.106844,1.8379,1.57243,
-2.76273,0.642086,-4.81089,0.174159,-2.72032,0.67975,-4.76195,0.112505,0.0756285,0.103448,1.77109,1.51532,
-3.00325,0.651414,-4.81184,0.199026,-2.98144,0.696131,-4.75777,0.123533,0.0732808,0.100605,1.7111,1.46407,
-3.24381,0.662026,-4.8127,0.225545,-3.23348,0.731492,-4.77603,0.22511,0.0710008,0.0989467,1.65679,1.41758,
-3.48441,0.674004,-4.81344,0.253712,-3.47971,0.701679,-4.79451,0.067775,0.0688904,0.0962268,1.60733,1.37599,
-3.72504,0.687432,-4.81403,0.283526,-3.72926,0.646298,-4.82813,-0.149969,0.0669568,0.0940169,1.56204,1.34112,
-3.9657,0.702391,-4.81445,0.314984,-3.96765,0.683399,-4.89129,0.0216688,0.0651725,0.091613,1.52048,1.30709,
-4.20636,0.718963,-4.81465,0.348081,-4.25085,0.629263,-4.97163,-0.184699,0.0642964,0.0915183,1.4824,1.27955,
