ground_truth_x, ground_truth_y, ground_truth_vx, ground_truth_vy, estimate_x, estimate_y, estimate_vx, estimate_vy, rmse_x, rmse_y, rmse_vx, rmse_vy, 
-4.44703,0.73723,-4.81461,0.382812,-4.49256,0.622736,-4.95689,-0.173499,0.0635286,0.0927415,1.44701,1.2546,
-4.68769,0.757274,-4.81428,0.419174,-4.73498,0.677901,-4.939,0.0412784,0.0628816,0.0921759,1.41399,1.2284,
-4.92832,0.779176,-4.81363,0.45716,-4.96105,0.744986,-4.96732,0.270358,0.061877,0.0904313,1.38328,1.20203,
-5.1689,0.803017,-4.81263,0.496763,-5.22279,0.74618,-4.99319,0.227231,0.0615647,0.0892843,1.35466,1.17801,
-5.40943,0.828877,-4.81122,0.537976,-5.48785,0.726458,-5.10701,0.135716,0.0623266,0.0898465,1.3286,1.15701,
-5.64986,0.856837,-4.80937,0.580791,-5.7094,0.822987,-5.03294,0.424774,0.0622217,0.0883515,1.30354,1.13495,
-5.8902,0.886977,-4.80703,0.625197,-5.93899,0.913665,-4.77556,0.616407,0.0617763,0.086852,1.27919,1.11374,
-6.1304,0.919375,-4.80415,0.671184,-6.13055,0.932344,-4.69127,0.58929,0.0606631,0.0853221,1.25632,1.09378,
-6.37044,0.954111,-4.8007,0.718741,-6.3819,0.974012,-4.96775,0.660424,0.059646,0.0839196,1.23486,1.07481,
-6.61028,0.991262,-4.79662,0.767854,-6.65269,0.968008,-5.01533,0.53872,0.0591526,0.0826182,1.21476,1.05757,
-6.84991,1.03091,-4.79187,0.818509,-6.89301,0.994711,-5.01032,0.542168,0.0587032,0.0815344,1.19565,1.04155,
-7.08928,1.07312,-4.78638,0.87069,-7.13346,1.08828,-4.98134,0.740437,0.0583041,0.080295,1.17732,1.02541,
-7.32835,1.11798,-4.78012,0.92438,-7.38449,1.07652,-4.92592,0.585568,0.0582395,0.0793978,1.15963,1.01148,
-7.56709,1.16556,-4.77304,0.979561,-7.61864,1.12163,-4.90108,0.633959,0.0580538,0.0785834,1.14266,0.998251,
-7.80545,1.21593,-4.76506,1.03621,-7.83498,1.1573,-4.83986,0.649669,0.0574357,0.0780841,1.12629,0.986054,
-8.04339,1.26918,-4.75615,1.09431,-8.06489,1.18818,-4.81804,0.64717,0.0567456,0.0781665,1.11058,0.975114,
-8.28085,1.32536,-4.74625,1.15383,-8.29812,1.29669,-4.85548,0.878117,0.0560455,0.0772469,1.09562,0.962914,
-8.51779,1.38455,-4.7353,1.21475,-8.53052,1.32957,-4.8382,0.848372,0.0553417,0.0767438,1.08123,0.952016,
-8.75416,1.44681,-4.72324,1.27704,-8.73947,1.36019,-4.49358,0.774599,0.0546783,0.0770128,1.06792,0.94317,
-8.98989,1.51223,-4.71002,1.34067,-8.96056,1.46142,-4.47696,0.951823,0.0541892,0.0764672,1.05513,0.933333,
-9.22493,1.58085,-4.69558,1.40561,-9.19879,1.48674,-4.7312,0.923575,0.0536797,0.0769457,1.04219,0.924949,
-9.45921,1.65276,-4.67987,1.47183,-9.45785,1.50131,-4.77786,0.831151,0.0530372,0.079535,1.02982,0.919203,
-9.69268,1.728,-4.66282,1.53929,-9.70955,1.49866,-4.90623,0.719665,0.05248,0.0860341,1.01845,0.91701,
-9.92526,1.80665,-4.64437,1.60795,-9.98422,1.64364,-4.94217,1.01865,0.0526361,0.0885301,1.00781,0.910872,
-10.1569,1.88875,-4.62448,1.67776,-10.2038,1.77279,-4.78823,1.22785,0.052516,0.0892313,0.996853,0.903188,
-10.3875,1.97438,-4.60307,1.7487,-10.4007,1.87328,-4.70389,1.34304,0.0519786,0.089506,0.98607,0.895317,
-10.6169,2.06357,-4.58009,1.82071,-10.6589,1.96502,-4.87936,1.4336,0.0517868,0.089708,0.9765,0.887539,
-10.8452,2.15639,-4.55549,1.89375,-10.8952,2.01739,-4.86883,1.38188,0.0517501,0.0910075,0.967332,0.881347,
-11.0722,2.25288,-4.52921,1.96776,-11.1205,2.11001,-4.81572,1.44758,0.051681,0.0923574,0.958285,0.875467,
-11.2979,2.35309,-4.50118,2.04269,-11.3041,2.27076,-4.6936,1.69921,0.0511692,0.0921676,0.949044,0.868029,
-11.5221,2.45707,-4.47136,2.11849,-11.5447,2.35392,-4.71301,1.69487,0.0507636,0.0923954,0.940303,0.861521,
-11.7448,2.56486,-4.43968,2.1951,-11.7781,2.50288,-4.6954,1.86969,0.0504852,0.0919054,0.931892,0.854389,
-11.9658,2.6765,-4.4061,2.27246,-12.0325,2.6243,-4.82674,1.96519,0.0508388,0.0913162,0.924866,0.847343,
-12.1851,2.79202,-4.37055,2.35051,-12.2751,2.75957,-4.82076,2.06491,0.0518325,0.0905744,0.918308,0.840359,
-12.4026,2.91145,-4.333,2.42918,-12.5128,2.83408,-4.72931,1.96518,0.0534662,0.0903516,0.911489,0.835032,
-12.6182,3.03483,-4.29338,2.5084,-12.7218,3.00684,-4.66092,2.1709,0.0547664,0.0896193,0.904649,0.828771,
-12.8317,3.16218,-4.25165,2.5881,-12.9453,3.12923,-4.61304,2.20385,0.0563314,0.0889368,0.897955,0.823044,
-13.0431,3.29353,-4.20776,2.66821,-13.1384,3.31617,-4.52456,2.41685,0.0572291,0.0882169,0.891151,0.816585,
-13.2522,3.42888,-4.16167,2.74865,-13.3284,3.41865,-4.39156,2.35636,0.0576036,0.0874763,0.884074,0.811244,
-13.459,3.56827,-4.11333,2.82935,-13.5097,3.56048,-4.31387,2.42841,0.0574954,0.08675,0.877058,0.806119,
-13.6633,3.71169,-4.0627,2.91022,-13.7392,3.7201,-4.35287,2.5346,0.057845,0.0860428,0.870632,0.80093,
-13.865,3.85915,-4.00974,2.99118,-13.9434,3.8268,-4.33286,2.48448,0.0582331,0.0854449,0.864557,0.797046,
-14.064,4.01066,-3.95441,3.07214,-14.1361,3.98206,-4.18718,2.54653,0.0584784,0.0848406,0.858169,0.793463,
-14.2602,4.16622,-3.89669,3.15303,-14.3234,4.14737,-4.13554,2.65176,0.0585543,0.0842081,0.851961,0.78973,
-14.4535,4.32581,-3.83653,3.23373,-14.5483,4.29859,-4.11721,2.6827,0.0592811,0.083626,0.846099,0.786606,
-14.6436,4.48943,-3.77392,3.31417,-14.7274,4.51296,-4.04426,2.89984,0.0597279,0.0830406,0.840324,0.782289,
-14.8306,4.65706,-3.70883,3.39425,-14.9251,4.66123,-3.98833,2.89455,0.0603952,0.0824202,0.834728,0.778825,
-15.0143,4.82869,-3.64123,3.47388,-15.0696,4.84321,-3.8734,3.00511,0.0603228,0.0818308,0.829046,0.775164,
-15.1945,5.00428,-3.5711,3.55294,-15.2488,4.97849,-3.79077,2.94883,0.0602399,0.081295,0.823441,0.772956,
-15.3712,5.1838,-3.49844,3.63135,-15.428,5.20169,-3.74793,3.1487,0.060192,0.0807405,0.818082,0.76958,
-15.5441,5.36723,-3.42323,3.70901,-15.5856,5.37897,-3.52596,3.15224,0.0599694,0.080182,0.812392,0.766993,
-15.7133,5.55452,-3.34546,3.78581,-15.7861,5.50204,-3.58292,3.05653,0.0601661,0.0798631,0.807216,0.766481,
-15.8785,5.74562,-3.26513,3.86164,-15.9587,5.63395,-3.58549,3.00637,0.0604857,0.0803838,0.802544,0.767767,
-16.0396,5.94048,-3.18223,3.9364,-16.0836,5.84933,-3.46083,3.18862,0.0602932,0.0805388,0.797761,0.7675,
-16.1965,6.13906,-3.09679,4.00999,-16.2507,5.99676,-3.35415,3.12088,0.0602162,0.08167,0.792981,0.769248,
-16.3491,6.34128,-3.00879,4.08229,-16.3745,6.27558,-3.22965,3.44873,0.0598897,0.0814802,0.788154,0.767619,
-16.4972,6.54708,-2.91826,4.1532,-16.5187,6.39917,-3.11059,3.28487,0.0595502,0.0826856,0.783327,0.769011,
-16.6407,6.75639,-2.82522,4.22261,-16.6706,6.61809,-3.08471,3.42594,0.0592638,0.083633,0.778843,0.769372,
-16.7795,6.96912,-2.72968,4.29042,-16.8326,6.80897,-3.12553,3.48806,0.05919,0.085033,0.775179,0.769799,
-16.9135,7.18521,-2.63167,4.3565,-17.0242,7.07889,-3.1603,3.72199,0.0601058,0.0853319,0.772583,0.768254,
-17.0425,7.40456,-2.53122,4.42077,-17.1476,7.2733,-2.90526,3.67298,0.0608643,0.0860486,0.768923,0.768005,
-17.1665,7.62707,-2.42838,4.4831,-17.2333,7.57715,-2.74614,3.99534,0.0609406,0.0856998,0.765025,0.765206,
-17.2852,7.85264,-2.32317,4.54339,-17.3728,7.75912,-2.77951,3.95947,0.0613302,0.0857982,0.762051,0.763278,
-17.3986,8.08118,-2.21565,4.60153,-17.4937,7.92113,-2.75776,3.87413,0.0618416,0.0870554,0.759807,0.762861,
-17.5066,8.31257,-2.10586,4.65742,-17.6041,8.137,-2.58784,3.88857,0.0623799,0.0886123,0.757131,0.762932,
-17.6091,8.54669,-1.99386,4.71095,-17.7389,8.38795,-2.57702,4.02903,0.0635772,0.0897431,0.755338,0.762039,
-17.7059,8.78343,-1.87971,4.76202,-17.8249,8.55602,-2.31415,3.86286,0.0644864,0.0924968,0.752428,0.763755,
-17.797,9.02267,-1.76348,4.81052,-17.8761,8.88002,-2.13569,4.21014,0.0646714,0.0932183,0.749192,0.762095,
-17.8822,9.26426,-1.64522,4.85637,-17.9547,9.0983,-1.87599,4.13405,0.064765,0.0943478,0.745373,0.76166,
-17.9614,9.50807,-1.52502,4.89946,-17.9433,9.45572,-1.60587,4.54188,0.0644324,0.0939843,0.741269,0.758354,
-18.0346,9.75398,-1.40296,4.9397,-18.0077,9.69436,-1.48531,4.52937,0.0641392,0.0936752,0.737235,0.755401,
-18.1016,10.0018,-1.27911,4.97699,-18.0899,9.93192,-1.49664,4.5541,0.0638013,0.0934491,0.733568,0.752577,
-18.1624,10.2515,-1.15357,5.01125,-18.184,10.1172,-1.47915,4.39806,0.0634968,0.0939833,0.730395,0.751216,
-18.2169,10.5027,-1.02642,5.04239,-18.1761,10.4165,-1.27927,4.61976,0.0632983,0.0939036,0.726967,0.74848,
-18.265,10.7555,-0.897764,5.07032,-18.2616,10.6518,-1.42505,4.68563,0.0629652,0.0940115,0.725151,0.745576,
-18.3066,11.0095,-0.767697,5.09498,-18.3292,10.8424,-1.43665,4.58036,0.0626789,0.0950635,0.724589,0.74354,
-18.3417,11.2647,-0.636323,5.11627,-18.3832,11.0512,-1.22396,4.42165,0.0624974,0.0970255,0.723309,0.743052,
-18.3702,11.5209,-0.503751,5.13414,-18.344,11.4714,-0.931167,4.93894,0.0622339,0.0966585,0.720903,0.739514,
-18.392,11.778,-0.370091,5.14852,-18.3857,11.7104,-0.83476,4.86169,0.0619221,0.0964086,0.718772,0.736334,
-18.4072,12.0356,-0.235457,5.15934,-18.4175,11.9662,-0.808468,4.89569,0.0616202,0.0961759,0.717461,0.733117,
-18.4156,12.2937,-0.099968,5.16654,-18.4524,12.206,-0.822569,4.90147,0.0614234,0.096096,0.717512,0.729956,
-18.4171,12.552,0.0362564,5.17007,-18.4892,12.4868,-0.797333,4.98852,0.0615373,0.0958412,0.718741,0.726591,
-18.4119,12.8105,0.173093,5.16989,-18.5013,12.7361,-0.57925,4.88485,0.0618676,0.0956562,0.719075,0.723601,
-18.3998,13.0688,0.310414,5.16594,-18.5019,13.0389,-0.492987,5.03398,0.0623787,0.0952403,0.719933,0.72023,
-18.3809,13.3269,0.448093,5.1582,-18.5004,13.2347,-0.192849,4.70794,0.0631672,0.095212,0.719221,0.718137,
-18.355,13.5845,0.585998,5.14663,-18.4249,13.5668,0.0319375,4.96647,0.0632343,0.0947774,0.717841,0.714956,
-18.3223,13.8414,0.723997,5.1312,-18.4115,13.8306,0.149315,4.94197,0.0635265,0.0943393,0.716635,0.711842,
-18.2826,14.0974,0.861956,5.11189,-18.3648,14.109,0.247643,5.02926,0.0637245,0.0939081,0.715755,0.708584,
-18.2361,14.3524,0.999739,5.08868,-18.3329,14.3481,0.48075,4.84784,0.0641053,0.0934773,0.714196,0.705703,
-18.1827,14.6061,1.13721,5.06157,-18.2858,14.5767,0.523633,4.82407,0.0645653,0.0930936,0.713345,0.702853,
-18.1224,14.8584,1.27423,5.03055,-18.2306,14.8011,0.823299,4.58998,0.0650893,0.0928328,0.711413,0.700928,
-18.0553,15.1091,1.41067,4.99562,-18.123,15.1021,1.00115,4.7791,0.0651132,0.0924198,0.709287,0.698092,
-17.9814,15.3578,1.54638,4.95679,-18.0613,15.3561,1.017,4.83373,0.0652584,0.0920101,0.707895,0.695092,
-17.9007,15.6046,1.68122,4.91408,-17.9825,15.6097,1.0835,4.87125,0.0654222,0.0916069,0.707003,0.692049,
-17.8133,15.8491,1.81507,4.8675,-17.9131,15.8245,1.14403,4.77309,0.0657985,0.0912366,0.706698,0.689089,
-17.7192,16.0912,1.94777,4.81708,-17.8205,16.0721,1.22604,4.8064,0.0661861,0.0908598,0.706829,0.686114,
-17.6185,16.3307,2.0792,4.76286,-17.7899,16.3074,1.1061,4.82983,0.0677802,0.0904962,0.709529,0.683203,
-17.5113,16.5674,2.20923,4.70486,-17.6178,16.599,1.38863,4.98539,0.0682006,0.0901588,0.710543,0.680792,
-17.3977,16.8011,2.33771,4.64314,-17.4938,16.7732,1.80567,4.50502,0.0684828,0.0898155,0.70923,0.678044,
-17.2776,17.0316,2.46452,4.57774,-17.3759,17.03,1.88269,4.58548,0.0687851,0.0894406,0.708263,0.675213,
-17.1512,17.2588,2.58952,4.50871,-17.2476,17.2088,2.23279,4.17632,0.0690591,0.0891861,0.706076,0.673096,
-17.0187,17.4824,2.71259,4.43613,-17.0768,17.507,2.40977,4.39607,0.068976,0.0888477,0.70371,0.670341,
-16.88,17.7023,2.83361,4.36005,-16.9298,17.6895,2.58283,4.18036,0.0688415,0.0884933,0.701208,0.667807,
-16.7354,17.9184,2.95245,4.28054,-16.7957,17.9144,2.60192,4.21716,0.0687767,0.0881365,0.699084,0.665133,
-16.5848,18.1303,3.069,4.19769,-16.6442,18.1057,2.71987,4.09297,0.068707,0.0878109,0.696982,0.662534,
-16.4285,18.3381,3.18313,4.11157,-16.4831,18.262,2.75342,3.99653,0.0686066,0.0877242,0.695266,0.659979,
-16.2665,18.5415,3.29475,4.02228,-16.347,18.4491,2.77687,3.9286,0.0687087,0.0877622,0.694046,0.657428,
-16.0991,18.7403,3.40374,3.9299,-16.1585,18.6821,2.90894,4.02557,0.0686408,0.08757,0.692711,0.65491,
-15.9262,18.9344,3.50999,3.83452,-15.9831,18.8555,3.12625,3.77847,0.0685576,0.0875062,0.690848,0.652385,
-15.7481,19.1237,3.61342,3.73626,-15.7646,19.1192,3.30653,3.96099,0.0683087,0.0871699,0.688712,0.65017,
-15.5649,19.308,3.71392,3.63521,-15.5849,19.2777,3.49479,3.65671,0.0680699,0.086877,0.686345,0.647686,
-15.3767,19.4872,3.8114,3.53148,-15.3941,19.4993,3.55102,3.7447,0.0678285,0.0865536,0.684116,0.645495,
-15.1838,19.6612,3.90579,3.42518,-15.1943,19.6442,3.76916,3.41155,0.0675792,0.0862402,0.681642,0.643065,
-14.9862,19.8297,3.99699,3.31643,-14.9556,19.8728,3.91536,3.55096,0.0673785,0.0859984,0.679131,0.640981,
-14.7841,19.9928,4.08495,3.20535,-14.7821,20.0102,3.96677,3.28179,0.0671287,0.0856923,0.676687,0.638637,
-14.5777,20.1503,4.16958,3.09206,-14.6533,20.1351,3.78326,3.17694,0.0671945,0.0853866,0.675008,0.636326,
-14.3671,20.302,4.25082,2.97668,-14.4631,20.2636,3.81493,3.04895,0.0674498,0.0851377,0.67357,0.634029,
-14.1526,20.448,4.32862,2.85933,-14.196,20.46,4.01763,3.16545,0.0673065,0.0848348,0.671647,0.632265,
-13.9342,20.588,4.40292,2.74015,-13.9732,20.5735,4.1965,2.85346,0.0671455,0.0845381,0.669456,0.63006,
-13.7123,20.722,4.47367,2.61927,-13.7819,20.7222,4.15495,2.85998,0.0671633,0.0842356,0.667604,0.628135,
-13.4868,20.8499,4.54085,2.49681,-13.5592,20.826,4.31053,2.56366,0.0672016,0.0839606,0.665516,0.625929,
-13.2582,20.9717,4.6044,2.37291,-13.2983,20.9727,4.42841,2.61586,0.0670491,0.0836645,0.663333,0.624055,
-13.0264,21.0872,4.6643,2.2477,-13.0442,21.0814,4.58208,2.44074,0.0668308,0.0833728,0.661045,0.622078,
-12.7917,21.1965,4.72053,2.12131,-12.7653,21.2458,4.72222,2.54202,0.0666347,0.0831845,0.658746,0.620905,
-12.5543,21.2994,4.77306,1.99388,-12.5278,21.3559,4.7639,2.42571,0.0664411,0.0830301,0.656471,0.619799,
-12.3143,21.3959,4.8219,1.86555,-12.2419,21.5025,4.89197,2.49045,0.0664839,0.0832142,0.654244,0.619834,
-12.072,21.486,4.86702,1.73644,-11.965,21.5785,5.08801,2.14333,0.0668427,0.083281,0.65227,0.618633,
-11.8276,21.5696,4.90844,1.60668,-11.7967,21.6741,4.87042,2.09622,0.0666651,0.0834421,0.65007,0.617851,
-11.5811,21.6467,4.94615,1.47643,-11.5382,21.7495,4.98329,1.86766,0.0665339,0.0835868,0.647892,0.616608,
-11.3329,21.7173,4.98017,1.34579,-11.269,21.7984,5.0141,1.78493,0.0665165,0.0835703,0.645735,0.615594,
-11.083,21.7813,5.01051,1.21491,-11.0261,21.8634,5.04571,1.6061,0.0664573,0.0835607,0.643599,0.614378,
-10.8317,21.8388,5.03719,1.08391,-10.8197,21.8775,4.90379,1.46393,0.0662454,0.0833446,0.64157,0.613129,
-10.5792,21.8898,5.06025,0.952912,-10.5519,21.915,5.07188,1.12647,0.0660655,0.0830967,0.639471,0.611283,
-10.3256,21.9341,5.07971,0.822051,-10.2706,21.9644,5.13845,1.12,0.0659996,0.0828625,0.637409,0.609768,
-10.0711,21.972,5.09561,0.691445,-9.9993,21.9713,5.23586,0.840857,0.0660386,0.0825947,0.635449,0.607916,
-9.81592,22.0033,5.10799,0.561215,-9.75308,22.0023,5.19224,0.8155,0.0660186,0.0823296,0.633445,0.606306,
-9.56019,22.0282,5.11691,0.431476,-9.48429,22.0019,5.29166,0.512685,0.0660862,0.0820939,0.631578,0.604407,
-9.3041,22.0465,5.1224,0.302344,-9.27799,22.0383,5.14822,0.520216,0.0659095,0.0818363,0.62958,0.602741,
-9.04782,22.0584,5.12453,0.17393,-9.01279,22.0227,5.23738,0.222733,0.0657606,0.0816277,0.627661,0.600855,
-8.79151,22.0639,5.12336,0.046341,-8.71005,22.0558,5.34949,0.273835,0.0658703,0.0813747,0.625952,0.599244,
-8.53534,22.0631,5.11895,-0.0803171,-8.44043,22.0317,5.46705,-0.146458,0.0660901,0.0811593,0.624607,0.597403,
-8.27947,22.0559,5.11137,-0.205944,-8.13686,22.049,5.55314,-0.0934079,0.0668318,0.0809102,0.623643,0.595622,
-8.02405,22.0425,5.10068,-0.330441,-7.84039,22.0419,5.64684,-0.230065,0.0681618,0.0806616,0.623197,0.593844,
-7.76924,22.0229,5.08697,-0.453715,-7.62679,22.034,5.47136,-0.235788,0.068858,0.08042,0.622019,0.592275,
-7.51519,21.9971,5.07031,-0.575677,-7.35585,21.9778,5.54933,-0.639391,0.0697607,0.08019,0.621251,0.590499,
-7.26204,21.9653,5.05078,-0.696241,-7.14834,21.9419,5.36743,-0.658576,0.0701079,0.0799687,0.619865,0.588724,
-7.00994,21.9275,5.02847,-0.815324,-6.86645,21.8902,5.4366,-0.826507,0.0707742,0.0797811,0.618813,0.58696,
-6.75902,21.8838,5.00346,-0.932849,-6.73575,21.8207,5.06205,-0.901738,0.0705861,0.079692,0.616985,0.585215,
-6.50942,21.8342,4.97584,-1.04874,-6.51194,21.7761,4.97966,-0.886701,0.0703772,0.0795814,0.615157,0.583614,
-6.26126,21.7789,4.94569,-1.16294,-6.36571,21.7226,4.71006,-0.91958,0.0706257,0.0794645,0.613611,0.582195,
-6.01466,21.7179,4.91312,-1.27537,-6.1133,21.6539,4.74936,-0.96588,0.0708218,0.0793829,0.611942,0.580972,
-5.76976,21.6513,4.87822,-1.38597,-5.86502,21.6228,4.78267,-0.932212,0.0709882,0.0791816,0.610204,0.580313,
-5.52665,21.5793,4.84107,-1.49469,-5.6311,21.5362,4.84267,-1.35768,0.0712268,0.0790203,0.608438,0.578727,
-5.28546,21.5018,4.80178,-1.60148,-5.32538,21.4977,5.017,-1.29476,0.0710863,0.0787936,0.606907,0.57753,
-5.04628,21.4191,4.76045,-1.70628,-5.02789,21.4198,5.16598,-1.44323,0.0708965,0.0785681,0.605946,0.576221,
-4.80922,21.3312,4.71717,-1.80906,-4.80537,21.3716,5.07856,-1.40305,0.0706954,0.0784037,0.604836,0.575396,
-4.57436,21.2382,4.67204,-1.90978,-4.57059,21.2841,5.0187,-1.41516,0.070496,0.078258,0.603687,0.574971,
-4.34181,21.1401,4.62517,-2.0084,-4.25512,21.2975,5.20924,-1.25473,0.0705974,0.0789241,0.603579,0.57613,
-4.11165,21.0373,4.57664,-2.10489,-3.97295,21.2187,5.28968,-1.43659,0.0711592,0.0798629,0.604246,0.576686,
-3.88395,20.9296,4.52656,-2.19922,-3.8819,21.0903,4.81887,-1.55158,0.0709614,0.080536,0.602959,0.577104,
-3.65879,20.8173,4.47504,-2.29137,-3.63847,20.946,4.87437,-2.08033,0.0707812,0.0808809,0.602023,0.575722,
-3.43624,20.7004,4.42216,-2.38133,-3.39243,20.792,4.8698,-2.17147,0.0706612,0.0809437,0.601283,0.574348,
-3.21637,20.5791,4.36803,-2.46907,-3.17136,20.6737,4.81359,-2.23632,0.0705463,0.0810243,0.600542,0.573035,
-2.99923,20.4534,4.31275,-2.5546,-2.90183,20.5576,4.88922,-2.24282,0.0707198,0.0811683,0.600413,0.571938,
-2.78489,20.3235,4.2564,-2.63789,-2.61576,20.4406,4.99941,-2.24022,0.0716162,0.0814055,0.601275,0.571139,
-2.57339,20.1895,4.1991,-2.71895,-2.47225,20.2971,4.71076,-2.29993,0.0718074,0.0815686,0.600829,0.57043,
-2.36478,20.0515,4.14093,-2.79777,-2.23167,20.1494,4.74115,-2.59924,0.0722736,0.0816643,0.600826,0.569088,
-2.1591,19.9097,4.082,-2.87437,-2.05917,19.9591,4.55915,-2.70907,0.0724487,0.0815264,0.600235,0.5677,
-1.95638,19.764,4.02238,-2.94874,-1.83997,19.7815,4.54161,-2.95501,0.0727513,0.0813204,0.599836,0.566197,
-1.75666,19.6147,3.96217,-3.02089,-1.63008,19.6178,4.4933,-2.98377,0.0731383,0.0811064,0.599495,0.564711,
-1.55997,19.4618,3.90147,-3.09085,-1.38625,19.43,4.55079,-3.2538,0.0740217,0.0809265,0.599766,0.563354,
-1.36632,19.3055,3.84036,-3.15861,-1.23689,19.2777,4.34354,-3.23313,0.0744172,0.0807404,0.599304,0.561911,
-1.17574,19.1458,3.77892,-3.22421,-1.02115,19.0901,4.34001,-3.37862,0.0750537,0.0806307,0.599112,0.560563,
-0.988236,18.9829,3.71725,-3.28766,-0.915626,18.9151,4.04129,-3.38504,0.0750413,0.0805699,0.598018,0.559161,
-0.803824,18.8169,3.65542,-3.34899,-0.69737,18.752,4.08449,-3.3112,0.0752359,0.0804975,0.597274,0.557732,
-0.622508,18.6479,3.59351,-3.40821,-0.556923,18.6206,3.91765,-3.24611,0.0751898,0.0803155,0.596198,0.556427,
-0.444288,18.476,3.53161,-3.46536,-0.369536,18.429,3.89232,-3.4418,0.0751876,0.0801812,0.595238,0.555016,
-0.269164,18.3013,3.46979,-3.52047,-0.292589,18.2545,3.57697,-3.43841,0.0750159,0.0800475,0.593782,0.553643,
-0.0971295,18.1238,3.40813,-3.57357,-0.129008,18.0598,3.53214,-3.67267,0.0748613,0.0799749,0.592353,0.552295,
0.0718255,17.9438,3.34669,-3.6247,0.064226,17.8881,3.57771,-3.65234,0.0746759,0.0798718,0.591096,0.550916,
0.237714,17.7612,3.28556,-3.67388,0.266777,17.7111,3.64559,-3.53489,0.0745181,0.0797513,0.590171,0.549631,
0.400552,17.5762,3.22479,-3.72115,0.462816,17.5416,3.68297,-3.52304,0.0744624,0.0795909,0.58959,0.548446,
0.560361,17.389,3.16445,-3.76656,0.69471,17.3885,3.81453,-3.47751,0.0748749,0.0793947,0.589903,0.54747,
0.717162,17.1994,3.10461,-3.81013,0.758421,17.2015,3.47331,-3.4862,0.074747,0.0792,0.589022,0.546597,
0.870984,17.0078,3.04533,-3.85192,0.919152,17.0045,3.42611,-3.68814,0.0746403,0.0790069,0.588185,0.545382,
1.02185,16.8141,2.98666,-3.89195,0.992299,16.8321,3.16312,-3.6531,0.0744874,0.0788249,0.586884,0.544311,
1.16981,16.6185,2.92867,-3.93028,1.15144,16.6214,3.14413,-3.95993,0.0743182,0.0786345,0.585656,0.542999,
1.31487,16.4209,2.87142,-3.96695,1.23152,16.4061,2.93688,-3.98017,0.0743642,0.078452,0.584264,0.541693,
1.4571,16.2216,2.81494,-4.00199,1.37608,16.1982,2.92366,-4.06676,0.0743975,0.0782808,0.582913,0.540414,
